"","MCED+SoC","SoC"
"LYs_total",9.92743884345994,9.87765166331209
"LYs_total_no_diag",9.73157902224635,9.73157902224635
"LYs_total_diag",10.5210482600119,10.3203667372868
"LYs_pre_diag",5.47781678529638,5.81447790678873
"LYs_post_diag",5.04323147471553,4.50588883049804
"QALYs_total",7.30927526542478,7.27843470479092
"QALYs_total_no_diag",7.34734216179599,7.34734216179599
"QALYs_total_diag",7.29155062446401,7.16168638355939
"QALYs_pre_diag",4.13575167289877,4.38993081962549
"QALYs_post_diag",3.15579895156525,2.7717555639339
"disutility_FP",-0.0230844701846863,-0.0228480213827197
"disutility_misdiag",-0.000135978312162992,0
"disutility_OD",-0.00100509724998887,0
"diagnosed_total",24809.0504156865,24809.0504156865
"diagnosed_1",9382.99707078535,8257.9917716712
"diagnosed_2",7624.82085459485,6743.81044025715
"diagnosed_3",3541.09306477064,3838.96952626744
"diagnosed_4",4260.1394255357,5968.27867749075
"overdiagnosed_total",224.995796249716,0
"overdiagnosed_1",111.235156803769,0
"overdiagnosed_2",84.4944292214211,0
"overdiagnosed_3",29.2662102245259,0
"overdiagnosed_4",0,0
"total_FPs",107584.107565275,106620.348533887
"total_misdiagnosed",672.130863630592,0
"deaths_total",14449.9754039708,15200.4286561526
"deaths_1",4159.40780088147,3622.93128414651
"deaths_2",3755.01756727708,3224.45957094163
"deaths_3",2650.85219798864,2889.37824390103
"deaths_4",3884.69783782366,5463.65955716347
"costs_total",79393.7956789172,75921.4724445162
"costs_total_screen",7202.95066659587,3521.14637241167
"costs_screen_pre_diag",7202.95066659587,3521.14637241167
"costs_screen_post_diag",0,0
"costs_total_cancer_tx",66609.497546862,66906.0731139193
"costs_cancer_tx_1",17481.5258724279,14116.7457427258
"costs_cancer_tx_2",17694.0946125539,13451.2555282119
"costs_cancer_tx_3",13549.4976377931,13778.4690967224
"costs_cancer_tx_4",17884.3794240871,25559.6027462592
"costs_total_workup",5581.34746545938,5494.25295818524
"costs_misdiagnosis",30.2357750494414,0
"costs_FPs",5551.11169040994,5494.25295818524
"costs_societal",0,0
"costs_diag_cancer_tx_total",266118.516144783,269684.135397682
"costs_diag_cancer_tx_1",69379.8335127721,56901.5964182165
"costs_diag_cancer_tx_2",70398.0514066678,54219.1470565385
"costs_diag_cancer_tx_3",54252.505624296,55538.0752824399
"costs_diag_cancer_tx_4",72088.1256010467,103025.316640487
"diagnosed_total_TS",2817.76829116999,0
"diagnosed_1_TS",1125.00529911415,0
"diagnosed_2_TS",1190.09959654234,0
"diagnosed_3_TS",502.6633955135,0
"diagnosed_4_TS",0,0
"LYs_post_diag_TS",7.3206680200862,0
"QALYs_post_diag_TS",4.73038965293485,0
"costs_cancer_tx_total_TS",381168.359791875,0
"costs_cancer_tx_1_TS",109864.680551565,0
"costs_cancer_tx_2_TS",173036.744486781,0
"costs_cancer_tx_3_TS",98266.9347535295,0
"costs_cancer_tx_4_TS",0,0
