"","MCED+SoC","SoC"
"LYs_total",14.2754344747375,14.1509302248433
"LYs_total_no_diag",13.9987194060515,13.9987194060515
"LYs_total_diag",14.823191553469,14.4522313207634
"LYs_pre_diag",8.11201083661123,8.54312931522351
"LYs_post_diag",6.71118071685779,5.90910200553989
"QALYs_total",11.0219835967385,10.9336484582783
"QALYs_total_no_diag",11.058495049616,11.058495049616
"QALYs_total_diag",11.0625856159091,10.7929214820645
"QALYs_pre_diag",6.49742045391417,6.84164890263602
"QALYs_post_diag",4.56516516199498,3.95127257942852
"disutility_FP",-0.0363937580703061,-0.0357129459908901
"disutility_misdiag",-0.000158493324485901,0
"disutility_OD",-0.00133210575399704,0
"diagnosed_total",33562.6945740734,33562.6945740734
"diagnosed_1",13571.5163300222,11233.715967869
"diagnosed_2",11523.7272758405,9846.34076893523
"diagnosed_3",4280.3109863849,5087.08089003048
"diagnosed_4",4187.13998182569,7395.55694723869
"overdiagnosed_total",332.656664244887,0
"overdiagnosed_1",161.935259074743,0
"overdiagnosed_2",130.347808606158,0
"overdiagnosed_3",40.3735965639869,0
"overdiagnosed_4",0,0
"total_FPs",188466.761877306,185259.780329391
"total_misdiagnosed",880.978249119342,0
"deaths_total",15166.9895171075,16769.2306766634
"deaths_1",4552.89628291556,3642.69850737953
"deaths_2",4231.44855015659,3337.77352223192
"deaths_3",2767.23450594048,3314.39698498713
"deaths_4",3615.41017809483,6474.36166206479
"costs_total",101086.169607529,95534.0777802034
"costs_total_screen",13990.1856880979,5503.7811860183
"costs_screen_pre_diag",13990.1856880979,5503.7811860183
"costs_screen_post_diag",0,0
"costs_total_cancer_tx",77973.701382673,81113.3139170762
"costs_cancer_tx_1",22857.8713418297,16892.1456866402
"costs_cancer_tx_2",23317.5451008452,16437.9373682064
"costs_cancer_tx_3",15021.0280406514,16897.3774299294
"costs_cancer_tx_4",16777.2568993467,30885.8534323002
"costs_total_workup",9122.28253675849,8916.98267710886
"costs_misdiagnosis",35.3113764797573,0
"costs_FPs",9086.97116027873,8916.98267710886
"costs_societal",0,0
"costs_diag_cancer_tx_total",230134.352030875,241677.001642577
"costs_diag_cancer_tx_1",67104.4478819534,50330.1236715634
"costs_diag_cancer_tx_2",68586.5195284797,48976.8106429227
"costs_diag_cancer_tx_3",44455.5719246553,50345.7116431358
"costs_diag_cancer_tx_4",49987.8126957865,92024.3556849545
"diagnosed_total_TS",5474.40566288523,0
"diagnosed_1_TS",2337.80036215327,0
"diagnosed_2_TS",2321.32377133679,0
"diagnosed_3_TS",815.281529395176,0
"diagnosed_4_TS",0,0
"LYs_post_diag_TS",7.98408042966141,0
"QALYs_post_diag_TS",5.51585179237618,0
"costs_cancer_tx_total_TS",327398.014572359,0
"costs_cancer_tx_1_TS",102840.665239098,0
"costs_cancer_tx_2_TS",150925.067904711,0
"costs_cancer_tx_3_TS",73632.2814285502,0
"costs_cancer_tx_4_TS",0,0
