"","MCED+SoC","SoC"
"LYs_total",18.1716956491025,18.0011810349059
"LYs_total_no_diag",17.8042241928629,17.8042241928629
"LYs_total_diag",18.7785923297075,18.3264646770193
"LYs_pre_diag",11.6427613501877,12.0731930164405
"LYs_post_diag",7.13583097951975,6.25327166057886
"QALYs_total",14.4235145619424,14.2941004401573
"QALYs_total_no_diag",14.393505248134,14.393505248134
"QALYs_total_diag",14.6053741175798,14.2555647677372
"QALYs_pre_diag",9.53474731072634,9.88457225390473
"QALYs_post_diag",5.0706268068535,4.3709925138325
"diagnosed_total",37713.8211261304,37713.8211261304
"diagnosed_1",15702.4065079844,12663.7231057918
"diagnosed_2",13316.3229233046,11285.5742435711
"diagnosed_3",4616.91082509849,5746.88951542861
"diagnosed_4",4078.18086974294,8017.63426133889
"overdiagnosed_total",360.957284030677,0
"overdiagnosed_1",176.233082261034,0
"overdiagnosed_2",142.575702891526,0
"overdiagnosed_3",42.1484988781165,0
"overdiagnosed_4",0,0
"total_FPs",277608.702379889,271712.940895869
"total_misdiagnosed",976.278819934853,0
"deaths_total",14833.6258558192,16918.2694947676
"deaths_1",4484.26793916748,3438.39937818298
"deaths_2",4203.19141183482,3230.70131679803
"deaths_3",2722.28496297016,3410.075839312
"deaths_4",3423.88154184675,6839.0929604746
"costs_total",105371.439338005,97672.2341020663
"costs_total_screen",19575.5189512506,7302.14644226096
"costs_screen_pre_diag",19575.5189512506,7302.14644226096
"costs_screen_post_diag",0,0
"costs_total_cancer_tx",73663.4074669548,78550.843485202
"costs_cancer_tx_1",22562.9486687459,15997.8589414047
"costs_cancer_tx_2",22759.7893655115,15917.2576686266
"costs_cancer_tx_3",13871.1159894329,16573.4434712246
"costs_cancer_tx_4",14469.5534432644,30062.2834039461
"costs_total_workup",12132.5129197992,11819.2441746033
"costs_misdiagnosis",32.6885874944211,0
"costs_FPs",12099.8243323048,11819.2441746033
"costs_societal",0,0
"costs_diag_cancer_tx_total",195322.047109982,208281.317404821
"costs_diag_cancer_tx_1",59826.7372411993,42419.0879197877
"costs_diag_cancer_tx_2",60348.6697605992,42205.3697910714
"costs_diag_cancer_tx_3",36779.9272925495,43945.2778221444
"costs_diag_cancer_tx_4",38366.7128156341,79711.5818718172
