"","MCED+SoC","SoC"
"LYs_total",19.9177778400485,19.7584674637918
"LYs_total_no_diag",19.5562060755627,19.5562060755627
"LYs_total_diag",20.486783749905,20.0767664476792
"LYs_pre_diag",13.7303295839667,13.9478093810551
"LYs_post_diag",6.75645416593827,6.12895706662409
"QALYs_total",16.2327821037618,16.1064264839396
"QALYs_total_no_diag",16.1960739190742,16.1960739190742
"QALYs_total_diag",16.4332587428222,16.1020829784938
"QALYs_pre_diag",11.5329433558768,11.7131892078933
"QALYs_post_diag",4.90031538694538,4.38889377060057
"disutility_FP",-0.0547331509010198,-0.0531276784627173
"disutility_misdiag",-0.000121326515018394,0
"disutility_OD",-0.000594432995842907,0
"diagnosed_total",38854.5496474862,38854.5496474862
"diagnosed_1",15908.8545074837,13157.9615074123
"diagnosed_2",13419.0796139881,11603.0835429675
"diagnosed_3",4914.91157282674,5952.3349678235
"diagnosed_4",4611.70395318763,8141.1696292829
"overdiagnosed_total",301.026034489424,0
"overdiagnosed_1",138.973246500668,0
"overdiagnosed_2",122.703648146879,0
"overdiagnosed_3",39.3491398418774,0
"overdiagnosed_4",0,0
"total_FPs",329433.517698264,320359.380420949
"total_misdiagnosed",868.68870517303,0
"deaths_total",15026.7749898125,16859.6762078314
"deaths_1",4267.15646235178,3358.70730359042
"deaths_2",4062.55730014002,3183.76656549662
"deaths_3",2835.84284701579,3424.4174393877
"deaths_4",3861.21838030486,6892.78489935667
"costs_total",104687.957904423,95395.96707276
"costs_total_screen",22326.0076523215,8187.59446727577
"costs_screen_pre_diag",22326.0076523215,8187.59446727577
"costs_screen_post_diag",0,0
"costs_total_cancer_tx",68777.4651096678,74047.5321861984
"costs_cancer_tx_1",20207.7859179832,15099.1899830863
"costs_cancer_tx_2",20330.8536960532,14990.9314476522
"costs_cancer_tx_3",13243.8865474461,15766.463038683
"costs_cancer_tx_4",14994.9389481853,28190.9477167768
"costs_total_workup",13584.4851424338,13160.8404192859
"costs_misdiagnosis",25.9355220412083,0
"costs_FPs",13558.5496203926,13160.8404192859
"costs_societal",0,0
"costs_diag_cancer_tx_total",175931.21007911,190576.220437519
"costs_diag_cancer_tx_1",51565.8685528121,38860.8029692174
"costs_diag_cancer_tx_2",51854.8696389089,38582.1778495948
"costs_diag_cancer_tx_3",33917.9799289723,40578.164415047
"costs_diag_cancer_tx_4",38592.4919584172,72555.0752036596
"diagnosed_total_TS",6136.63621553271,0
"diagnosed_1_TS",2750.89300007145,0
"diagnosed_2_TS",2547.77589742249,0
"diagnosed_3_TS",837.967318038765,0
"diagnosed_4_TS",0,0
"LYs_post_diag_TS",7.26459321048912,0
"QALYs_post_diag_TS",5.32966237879971,0
"costs_cancer_tx_total_TS",240375.674714776,0
"costs_cancer_tx_1_TS",80443.028420497,0
"costs_cancer_tx_2_TS",109369.637757126,0
"costs_cancer_tx_3_TS",50563.0085371527,0
"costs_cancer_tx_4_TS",0,0
"total_costs_5_yr",20102.599698431,15580.0181171533
"total_costs_10_yr",38300.3636846541,31492.8438507895
"total_costs_15_yr",55810.8046672511,47443.2049767767
"total_costs_20_yr",71986.7175309993,62765.1411623366
"total_costs_25_yr",85332.0004560301,75590.5032208435
"total_costs_30_yr",95283.7342672333,85297.3599937089
