characteristics,variable,t,median_CrI,median,CrI_temp,2.5%,97.5%,CrI
Male.all.I.65-69.1.negative,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.all.I.65-69.1.positive,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.all.I.65-69.1.5.negative,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.all.I.65-69.1.5.positive,rmst,32,16.35 (16.32 to 16.37),16.35,16.32 to 16.37,16.32,16.37,(16.32 to 16.37)
Male.all.I.65-69.3.negative,rmst,32,16.43 (16.43 to 16.43),16.43,16.43 to 16.43,16.43,16.43,(16.43 to 16.43)
Male.all.I.65-69.3.positive,rmst,32,15.95 (15.9 to 15.99),15.95,15.9 to 15.99,15.9,15.99,(15.9 to 15.99)
Male.all.II.65-69.1.negative,rmst,32,15.36 (15.24 to 15.43),15.36,15.24 to 15.43,15.24,15.43,(15.24 to 15.43)
Male.all.II.65-69.1.positive,rmst,32,15.36 (15.24 to 15.43),15.36,15.24 to 15.43,15.24,15.43,(15.24 to 15.43)
Male.all.II.65-69.1.5.negative,rmst,32,15.75 (15.67 to 15.81),15.75,15.67 to 15.81,15.67,15.81,(15.67 to 15.81)
Male.all.II.65-69.1.5.positive,rmst,32,15 (14.67 to 15.1),15,14.67 to 15.1,14.67,15.1,(14.67 to 15.1)
Male.all.II.65-69.3.negative,rmst,32,16.23 (16.18 to 16.27),16.23,16.18 to 16.27,16.18,16.27,(16.18 to 16.27)
Male.all.II.65-69.3.positive,rmst,32,13.5 (13.08 to 13.89),13.5,13.08 to 13.89,13.08,13.89,(13.08 to 13.89)
Male.all.III.65-69.1.negative,rmst,32,11.4 (10.96 to 11.84),11.4,10.96 to 11.84,10.96,11.84,(10.96 to 11.84)
Male.all.III.65-69.1.positive,rmst,32,11.42 (11.01 to 11.89),11.42,11.01 to 11.89,11.01,11.89,(11.01 to 11.89)
Male.all.III.65-69.1.5.negative,rmst,32,13.38 (12.86 to 13.73),13.38,12.86 to 13.73,12.86,13.73,(12.86 to 13.73)
Male.all.III.65-69.1.5.positive,rmst,32,10.86 (10.43 to 11.27),10.86,10.43 to 11.27,10.43,11.27,(10.43 to 11.27)
Male.all.III.65-69.3.negative,rmst,32,15.19 (15.09 to 15.27),15.19,15.09 to 15.27,15.09,15.27,(15.09 to 15.27)
Male.all.III.65-69.3.positive,rmst,32,9.82 (9.43 to 10.2),9.82,9.43 to 10.2,9.43,10.2,(9.43 to 10.2)
Male.all.IV.65-69.1.negative,rmst,32,3.52 (3.36 to 3.69),3.52,3.36 to 3.69,3.36,3.69,(3.36 to 3.69)
Male.all.IV.65-69.1.positive,rmst,32,3.52 (3.37 to 3.7),3.52,3.37 to 3.7,3.37,3.7,(3.37 to 3.7)
Male.all.IV.65-69.1.5.negative,rmst,32,5.47 (5.17 to 5.78),5.47,5.17 to 5.78,5.17,5.78,(5.17 to 5.78)
Male.all.IV.65-69.1.5.positive,rmst,32,3.32 (3.17 to 3.47),3.32,3.17 to 3.47,3.17,3.47,(3.17 to 3.47)
Male.all.IV.65-69.3.negative,rmst,32,9.47 (8.97 to 10.09),9.47,8.97 to 10.09,8.97,10.09,(8.97 to 10.09)
Male.all.IV.65-69.3.positive,rmst,32,2.93 (2.8 to 3.07),2.93,2.8 to 3.07,2.8,3.07,(2.8 to 3.07)
