iSettings,iSettings,iSettings.csv,"Model settings",Values,"[X, 3]",Settings
iBooleanSettings,iBooleanSettings,iBooleanSettings.csv,"Other miscellaneous boolean inputs",Values,"[X, 3]",Multiple sheets
iMiscellaneous,iMisc,iMisc.csv,"Other miscellaneous inputs",Values,"[X, 3]",Multiple sheets
iCancerInclusion,incl_cancer,incl_cancer.csv,"Inclusion/exclusion of cancers",Vector,"[N]",Settings
iCancerInclusion_hete,incl_cancer_hete,incl_cancer_hete.csv,"Inclusion/exclusion of cancers",Vector,"[N]",Settings
iIncidence,incidence,incidence.csv,"SEER Incidence by cancer, stage and age (per 100,000)",Dataframe,"[N*S, A]",Incidence
iIncidence_Intercept,incidence_Intercept,incidence_Intercept.csv,Base case inputs for stage shift distribution calculation,Dataframe,"[N*S, A]",Incidence
iIncidence_hete,incidence_hete,incidence_hete.csv,"SEER Incidence by cancer, stage and age (per 100,000)",Dataframe,"[N*S, A]",Incidence
iDeath5y,deaths_5y,deaths_5y.csv,"Cancer and stage specific deaths at 5-year post diagnosis",Dataframe,"[N*S, A]",Survival
iIatrogenicProp,prop_iatrogenic,prop_iatrogenic.csv,"Proportion experiencing Iatrogenic harm by cancer, stage and age",Dataframe,"[N*S, A]",Survival
iDwellTime,dwell_times,dwell_times.csv,"Dwell time by cancer and stage",Vector,"[N*S]",Dwell Time
iDwellTime_hete,dwell_times_hete,dwell_times_hete.csv,"Dwell time by cancer and stage",Vector,"[N*S]",Dwell Time
iCostsCancerTreatment,costs_cancer_tx,costs_cancer_tx.csv,"Cancer-related costs by cancer, stage and year since diagnosis",Dataframe,"[N*S, 6]",Costs
iCostsCancerTreatment,costs_cancer_tx_base,costs_cancer_tx_base.csv,"Cancer-related costs by cancer, stage and year since diagnosis",Dataframe,"[N*S, 6]",Costs
iCostsWorkupMisdiagnosis,costs_workup_misdiagnosis,costs_workup_misdiagnosis.csv,"Additional workup costs due to misdiagnosis by cancer",Vector,"[N]",Costs
iCostsWorkupFP,costs_workup_FP,costs_workup_FP.csv,"Additional workup costs due to false positives by cancer",Vector,"[N]",Costs
iCostsSocietal,costs_societal,costs_societal.csv,"Annual societal costs by cancer and stage",Vector,"[N*S]",Costs
